Location,Updated,WaitTimeInSeconds
AF2,2023-07-11T21:54:00,532
AF3,2023-07-11T21:54:00,60
EF-T,2023-07-11T21:54:00,60
GH-T,2023-07-11T21:54:00,60
NS-S,2023-07-11T21:54:00,60
S-NS,2023-07-11T21:54:00,126
VF0,2023-07-11T21:54:00,60
VF1,2023-07-11T21:54:00,120
VF2,2023-07-11T21:54:00,60
VF3,2023-07-11T21:54:00,60
VF4,2023-07-11T21:54:00,60
VH3,2023-07-11T21:54:00,60
AF2,2023-07-11T22:04:00,501
AF3,2023-07-11T22:04:00,60
EF-T,2023-07-11T22:04:00,60
GH-T,2023-07-11T22:03:00,60
NS-S,2023-07-11T22:04:00,60
S-NS,2023-07-11T22:04:00,189
VF0,2023-07-11T22:04:00,60
VF1,2023-07-11T22:03:00,106
VF2,2023-07-11T22:04:00,60
VF3,2023-07-11T22:04:00,81
VF4,2023-07-11T22:04:00,60
VH3,2023-07-11T22:04:00,60
AF2,2023-07-11T22:23:00,292
AF3,2023-07-11T22:24:00,60
EF-T,2023-07-11T22:24:00,60
GH-T,2023-07-11T22:23:00,60
NS-S,2023-07-11T22:24:00,66
S-NS,2023-07-11T22:24:00,154
VF0,2023-07-11T22:23:00,60
VF1,2023-07-11T22:23:00,135
VF2,2023-07-11T22:24:00,60
VF3,2023-07-11T22:23:00,177
VF4,2023-07-11T22:23:00,60
VH3,2023-07-11T22:23:00,60
AF2,2023-07-11T22:30:00,260
AF3,2023-07-11T22:30:00,60
EF-T,2023-07-11T22:30:00,60
GH-T,2023-07-11T22:30:00,60
NS-S,2023-07-11T22:30:00,60
S-NS,2023-07-11T22:30:00,137
VF0,2023-07-11T22:30:00,60
VF1,2023-07-11T22:30:00,130
VF2,2023-07-11T22:30:00,60
VF3,2023-07-11T22:30:00,145
VF4,2023-07-11T22:30:00,60
VH3,2023-07-11T22:30:00,60
AF2,2023-07-11T22:45:00,707
AF3,2023-07-11T22:45:00,60
EF-T,2023-07-11T22:45:00,60
GH-T,2023-07-11T22:45:00,60
NS-S,2023-07-11T22:45:00,142
S-NS,2023-07-11T22:45:00,97
VF0,2023-07-11T22:45:00,60
VF1,2023-07-11T22:45:00,111
VF2,2023-07-11T22:45:00,60
VF3,2023-07-11T22:45:00,138
VF4,2023-07-11T22:45:00,60
VH3,2023-07-11T22:45:00,60
AF2,2023-07-11T23:02:00,240
AF3,2023-07-11T23:02:00,60
EF-T,2023-07-11T23:02:00,60
GH-T,2023-07-11T23:02:00,60
NS-S,2023-07-11T23:02:00,267
S-NS,2023-07-11T23:02:00,60
VF0,2023-07-11T23:02:00,60
VF1,2023-07-11T23:02:00,160
VF2,2023-07-11T23:02:00,60
VF3,2023-07-11T23:02:00,60
VF4,2023-07-11T23:02:00,60
VH3,2023-07-11T23:02:00,60
AF2,2023-07-11T23:20:00,60
AF3,2023-07-11T23:20:00,60
EF-T,2023-07-11T23:20:00,60
GH-T,2023-07-11T23:20:00,60
NS-S,2023-07-11T23:20:00,107
S-NS,2023-07-11T23:20:00,60
VF0,2023-07-11T23:20:00,60
VF1,2023-07-11T23:20:00,155
VF2,2023-07-11T23:20:00,60
VF3,2023-07-11T23:20:00,60
VF4,2023-07-11T23:20:00,60
VH3,2023-07-11T23:20:00,60
AF2,2023-07-11T23:30:00,60
AF3,2023-07-11T23:31:00,60
EF-T,2023-07-11T23:31:00,60
GH-T,2023-07-11T23:30:00,60
NS-S,2023-07-11T23:31:00,60
S-NS,2023-07-11T23:31:00,194
VF0,2023-07-11T23:30:00,60
VF1,2023-07-11T23:30:00,142
VF2,2023-07-11T23:31:00,60
VF3,2023-07-11T23:30:00,60
VF4,2023-07-11T23:30:00,60
VH3,2023-07-11T23:30:00,60
AF2,2023-07-11T23:45:00,60
AF3,2023-07-11T23:45:00,60
EF-T,2023-07-11T23:45:00,60
GH-T,2023-07-11T23:45:00,60
NS-S,2023-07-11T23:45:00,60
S-NS,2023-07-11T23:45:00,303
VF0,2023-07-11T23:45:00,60
VF1,2023-07-11T23:45:00,124
VF2,2023-07-11T23:45:00,60
VF3,2023-07-11T23:45:00,60
VF4,2023-07-11T23:45:00,60
VH3,2023-07-11T23:45:00,60
